"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
129,0.0240636019135699,42557.4207849115,76556.1104295154,1.34264805094091,1.59605434328596,33998.6896446039,0.253406292345047,134166.714369942,-22595.4064890768
130,0.0241645341507289,40747.4751515613,75865.0321290828,1.16950756908257,1.32276754266345,35117.5569775214,0.153259973580882,229137.172328875,-28220.8581663817
131,0.0240114632413513,41668.8270058169,68193.1185106884,1.24919522521277,1.45188324425971,26524.2915048715,0.202688019046941,130862.651031824,-17403.3306477592
132,0.0257241149762351,36551.8856326207,63294.8591340815,1.09203233850793,1.19565627810747,26742.9735014608,0.103623939599543,258077.174104842,-22079.8962194814
133,0.0275426853211009,37595.5757542828,66468.9696474726,1.09384208681363,1.27405946926736,28873.3938931898,0.180217382453728,160214.256250244,-20763.611682772
134,0.0304194452916614,35302.5727130981,63398.2675888168,1.18007433319267,1.33868462793909,28095.6948757187,0.158610294746413,177136.641228984,-20958.2316121301
135,0.024551595369271,43137.350663989,75458.9100469573,1.29885315703009,1.48881718071076,32321.5593829683,0.189964023680664,170145.687360792,-23773.1783173384
136,0.0277056545553965,37373.3977338895,65623.2987805295,1.04559870617958,1.26627003809076,28249.90104664,0.220671331911179,128017.993103022,-18319.6911106369
137,0.0276748244921608,38875.6947683424,64359.4873915691,1.2736226467405,1.35934080389542,25483.7926232268,0.0857181571549213,297297.485959352,-21626.4755512553
138,0.0269892427666442,36710.1392703042,71873.5676687275,1.15630610411868,1.30236561498242,35163.4283984233,0.146059510863737,240747.269318383,-28590.7504095552
139,0.0250008301595246,44028.2788727928,65900.7118534723,0.976198064422714,1.05432290765768,21872.4329806795,0.0781248432349618,279967.703933789,-18356.8150351062
140,0.026323749903851,34656.4744339022,69665.4715330578,1.30647747316665,1.5918221699973,35008.9970991556,0.285344696830656,122690.197112486,-22168.4857417761
141,0.0260900515350877,40279.1371680579,68530.1748744633,1.27223733242518,1.47951913265838,28251.0377064054,0.207281800233196,136292.900170794,-18923.3566959116
142,0.0273439487368754,33398.9079824328,62295.8869685806,0.919971617270185,1.02865230548781,28896.9789861477,0.10868068821762,265888.81115921,-24006.3480163548
143,0.0259561368447058,38548.1544263428,68123.9926262274,1.25916074687836,1.35058863505851,29575.8381998845,0.0914278881801567,323488.14774772,-25461.5832317775
144,0.0280265239520858,35258.7739088041,78820.2642142802,1.25104786825558,1.50168843917479,43561.4903054761,0.250640570919209,173800.634692608,-32282.6646141117
145,0.0259530147747467,40576.4888645621,73334.1827695813,1.06106053279165,1.24049114504552,32757.6939050192,0.17943061225387,182564.688898633,-24683.316353595
146,0.0281599004052716,37103.1168039859,68488.4920147908,1.15565848186189,1.29199901243899,31385.3752108048,0.136340530577092,230198.423593918,-25250.0513348357
147,0.0249365522673423,40670.021704006,63860.2771748138,1.12686652718786,1.27294726921,23190.2554708078,0.146080742022146,158749.573350963,-16616.6220798112
148,0.0245960313517903,40039.7712421141,66640.7954371427,1.30994385195213,1.42115903740928,26601.0241950286,0.111215185457152,239185.180384177,-21596.3408494567
149,0.0258913300588059,39847.5700156344,69431.7131237146,1.25133021954232,1.39703048011669,29584.1431080803,0.145700260574373,203047.976657386,-23027.6313822335
150,0.0269381287248416,41590.859293394,79218.9280943405,1.26800038413012,1.47131959479025,37628.0688009465,0.203319210660129,185068.930175251,-28478.7043212407
151,0.0274603428035107,42554.9276383866,74560.6486379959,1.11020745362133,1.30818243612361,32005.7209996093,0.197974982502275,161665.482148693,-23096.8467870069
152,0.0257933735764554,43914.3027038945,70116.9643348819,1.15730275836817,1.28047819398683,26202.6616309874,0.123175435618656,212726.356512424,-20659.7670281479
153,0.0272718720773375,39619.7989121382,74708.1131084362,1.23253886518889,1.43633845880512,35088.314196298,0.203799593616236,172170.677937518,-25917.3324835674
154,0.0270448319813516,37121.8216643834,67677.9720358012,1.21239570522038,1.38622451563414,30556.1503714178,0.173828810413761,175783.003396765,-22733.8539027985
